search url,https://www.toyota.com/dealers/#search&zipcode=30339,,,
id,dealer_name,base_url,camry_ext_new,camry_ext_used
1,World Toyota,https://www.worldtoyota.com/,,search/Used+Camry%20+tq
2,AutoNation Toyota Thornton Road,https://www.autonationtoyotathorntonroad.com/,new-inventory/index.htm?compositeType=new&make=Toyota&model=Camry,
3,Rick Hendrick Toyota Sandy Springs,https://www.rickhendricktoyotasandysprings.com/,,atlanta-pre-owned/#action=im_ajax_call&perform=get_results&search=camry&page=1
4,Toyota South Atlanta,https://www.toyotasouthatlanta.com/,searchnew.aspx?Model=Camry,
5,Marietta Toyota,https://www.mariettatoyota.com/,new-vehicles/camry/,used-vehicles/#action=im_ajax_call&perform=get_results&model%5B%5D=Camry
6,Nalley Toyota Union City,https://www.toyotaofunioncity.com/,new-vehicles/camry/,used-vehicles/#action=im_ajax_call&perform=get_results&search=camry
7,Nalley Toyota Stonecrest,https://www.stonecresttoyota.com/,all-inventory/index.htm?compositeType=new&make=Toyota&model=Camry,
8,Stone Mountain Toyota,https://www.stonemountaintoyota.com/,inventory?type=new&keyword=Camry,
9,Atlanta Toyota,https://www.atlantatoyota.com/,new-inventory/index.htm?search=&saveFacetState=true&model=Camry&payment-selection=payment-panel-paymentLoan&lastFacetInteracted=inventory-listing1-facet-anchor-model-4,
10,Cobb County Toyota,https://www.cobbcountytoyota.com/,searchnew.aspx?Model=Camry,
11,,,,
12,,,,
13,,,,
14,,,,
15,,,,
16,,,,
17,,,,
